Kode Stasiun;Latitude;Longitude;Jarak Episenter (km)
CBJI;-6.6981;106.9349;24.63
JTJM;-7.0573;106.8015;39.53
CWJM;-6.7423;107.4448;40.56
WSJM;-6.9748;106.7249;43.06
PBJI;-7.0874;107.4757;49.41
JPJI;-6.5306;107.41757;50.43
CNJI;-7.3091;107.1296;50.59
DBJI;-6.5542;106.7436;51
LEM;-6.8266;107.6175;57.83
PTJI;-6.255535;106.748825;76.36
TSJM;-6.7319;107.8109;80.26
JBJI;-6.483735;106.4698517;80.29
CSJI;-7.3301;106.52107;82.49
TNGI;-6.172;106.647;90.15
CSJM;-6.7405;108.0099;101.9
BBJI;-7.5557;107.815;111.19
CIJM;-6.4926;108.1853;126.97
CIJI;-7.31741;108.19589;132.02
PKJM;-6.7988;108.445;149.34
CGJI;-6.6134;105.6929;157.26
ACJM;-6.8033;108.6151;168.11
BKJI;-7.3633;108.5322;168.5
CMJI;-7.7837;108.4486;181.47
PSLI;-5.93732;105.51004;202.48
KPJI;-7.3332;108.9312;209.69
CTJI;-7.0075;109.1835;231.43
SCJI;-7.681;109.1689;246.65
